OrderID,CustomerID,ProductID,OrderDate,Quantity,UnitPrice,TotalAmount,Status,PaymentMethod,ShippingCity
ORD_000001,CUST_0095,PROD_0018,9/12/2024,4,6724.63,26898.52,cancelled,Credit Card,Bokaro
ORD_000002,CUST_0229,PROD_0097,1/9/2024,3,3896.39,11689.17,cancelled,Debit Card,
ORD_000003,CUST_0335,PROD_0047,2024-04-18,5,212.21,1061.05,delivered,,Chittoor
ORD_000004,CUST_0208,PROD_0088,11/11/2024,4,3136.38,12545.52,DELIVERED,,Tiruchirappalli
ORD_000005,CUST_0113,PROD_0018,12/15/2024,3,6183.79,18551.37,Delivered,Net Banking,
ORD_000006,CUST_0360,PROD_0071,11/7/2024,5,3797.89,18989.45,PENDING,,Bhilai
ORD_000007,CUST_0306,PROD_0011,5/9/2024,2,6834.39,13668.78,PENDING,,Gorakhpur
ORD_000008,CUST_0058,PROD_0008,2024-11-21,1,9179.72,9179.72,PENDING,Credit Card,Mehsana
ORD_000009,CUST_0227,PROD_0015,2024-01-11,3,8558.41,25675.23,pending,UPI,
ORD_000010,CUST_0233,PROD_0017,1/5/2024,4,8105.05,32420.2,pending,COD,Hindupur
ORD_000011,CUST_0414,PROD_0040,2024-09-26,5,4676.55,23382.75,Cancelled,Debit Card,Ichalkaranji
ORD_000012,CUST_0024,PROD_0055,6/22/2024,2,5824.28,11648.56,DELIVERED,COD,Munger
ORD_000013,CUST_0242,PROD_0005,2/13/2024,1,9861.76,9861.76,Cancelled,Credit Card,Haridwar
ORD_000014,CUST_0457,PROD_0049,1/15/2024,4,3806.16,15224.64,Cancelled,Net Banking,Morbi
ORD_000015,CUST_0441,PROD_0045,2024-10-09,5,1415.6,7078.0,Delivered,COD,Bihar Sharif
ORD_000016,CUST_0115,PROD_0001,2024-05-28,5,1359.74,6798.7,SHIPPED,Net Banking,
ORD_000017,CUST_0195,PROD_0030,2024-09-24,5,4297.87,21489.35,pending,Debit Card,Noida
ORD_000018,CUST_0449,PROD_0093,2024-05-10,3,1964.96,5894.88,delivered,,Patna
ORD_000019,CUST_0453,PROD_0003,2024-05-15,5,7682.93,38414.65,shipped,UPI,Kakinada
ORD_000020,CUST_0307,PROD_0087,2024-09-25,5,431.41,2157.05,shipped,,Jaipur
ORD_000021,CUST_0277,PROD_0028,2024-09-07,4,4444.73,17778.92,Delivered,COD,Gandhinagar
ORD_000022,CUST_0375,PROD_0074,11/2/2024,2,8175.28,16350.56,cancelled,Credit Card,Tiruppur
ORD_000023,CUST_0267,PROD_0029,9/14/2024,2,9857.39,19714.78,SHIPPED,Debit Card,North Dumdum
ORD_000024,CUST_0451,PROD_0095,2024-07-29,5,9489.35,47446.75,Cancelled,COD,Jhansi
ORD_000025,CUST_0483,PROD_0083,10/17/2024,1,9724.67,9724.67,PENDING,Debit Card,
ORD_000026,CUST_0154,PROD_0049,2024-06-20,4,4140.77,16563.08,PENDING,Net Banking,Chennai
